weekday,time,count,sum,average
1,21600,5,149,29
1,22200,5,207,41
1,22800,5,232,46
1,23400,5,261,52
1,24000,5,282,56
1,24600,5,296,59
1,25200,5,300,60
1,25800,5,274,54
1,26400,5,261,52
1,27000,5,244,48
1,27600,4,191,47
1,28200,5,201,40
1,28800,0,0,0
1,29400,5,537,107
1,30000,0,0,0
1,30600,5,626,125
1,31200,0,0,0
1,31800,0,0,0
1,32400,5,605,121
1,33000,0,0,0
1,33600,0,0,0
1,34200,0,0,0
1,34800,5,370,74
1,35400,0,0,0
1,36000,0,0,0
1,36600,0,0,0
1,37200,1,0,0
1,37800,3,49,16
1,38400,1,35,35
1,39000,0,0,0
1,39600,3,186,62
1,40200,1,50,50
1,40800,0,0,0
1,41400,4,279,69
1,42000,2,131,65
1,42600,4,253,63
1,43200,3,212,70
1,43800,2,102,51
1,44400,3,191,63
1,45000,3,166,55
1,45600,3,171,57
1,46200,4,202,50
1,46800,4,191,47
1,47400,5,230,46
1,48000,2,91,45
1,48600,6,266,44
1,49200,5,221,44
1,49800,5,204,40
1,50400,5,431,86
1,51000,5,513,102
1,51600,0,0,0
1,52200,5,542,108
1,52800,5,564,112
1,53400,5,555,111
1,54000,5,543,108
1,54600,5,536,107
1,55200,4,422,105
1,55800,6,607,101
1,56400,5,459,91
1,57000,5,421,84
1,57600,2,167,83
1,58200,5,359,71
1,58800,3,215,71
1,59400,5,331,66
1,60000,3,220,73
1,60600,5,333,66
1,61200,7,444,63
1,61800,1,83,83
1,62400,6,389,64
1,63000,5,317,63
1,63600,6,386,64
1,64200,7,389,55
1,64800,4,275,68
1,65400,4,300,75
1,66000,2,92,46
1,66600,5,318,63
1,67200,6,407,67
1,67800,5,301,60
1,68400,5,334,66
1,69000,5,299,59
1,69600,5,252,50
1,70200,5,285,57
1,70800,5,340,68
1,71400,5,312,62
1,72000,2,152,76
1,72600,4,218,54
1,73200,4,196,49
1,73800,2,175,87
1,74400,3,189,63
1,75000,2,168,84
1,75600,3,171,57
1,76200,3,232,77
1,76800,2,99,49
1,77400,4,255,63
1,78000,2,122,61
1,78600,6,298,49
1,79200,6,205,34
2,21600,6,161,26
2,22200,5,191,38
2,22800,5,230,46
2,23400,5,262,52
2,24000,5,275,55
2,24600,5,284,56
2,25200,5,292,58
2,25800,5,268,53
2,26400,5,266,53
2,27000,5,247,49
2,27600,5,227,45
2,28200,5,200,40
2,28800,0,0,0
2,29400,5,469,93
2,30000,0,0,0
2,30600,5,526,105
2,31200,0,0,0
2,31800,0,0,0
2,32400,5,502,100
2,33000,0,0,0
2,33600,0,0,0
2,34200,0,0,0
2,34800,5,299,59
2,35400,0,0,0
2,36000,0,0,0
2,36600,1,0,0
2,37200,1,7,7
2,37800,3,37,12
2,38400,1,13,13
2,39000,1,45,45
2,39600,1,20,20
2,40200,5,239,47
2,40800,0,0,0
2,41400,3,156,52
2,42000,4,205,51
2,42600,3,166,55
2,43200,4,206,51
2,43800,2,104,52
2,44400,3,184,61
2,45000,5,275,55
2,45600,2,114,57
2,46200,5,268,53
2,46800,4,202,50
2,47400,5,265,53
2,48000,2,110,55
2,48600,7,297,42
2,49200,5,224,44
2,49800,5,225,45
2,50400,5,380,76
2,51000,5,468,93
2,51600,0,0,0
2,52200,5,532,106
2,52800,4,434,108
2,53400,5,547,109
2,54000,6,674,112
2,54600,5,546,109
2,55200,4,424,106
2,55800,6,608,101
2,56400,5,500,100
2,57000,5,485,97
2,57600,2,166,83
2,58200,4,334,83
2,58800,4,284,71
2,59400,5,305,61
2,60000,2,116,58
2,60600,8,497,62
2,61200,3,135,45
2,61800,3,218,72
2,62400,5,257,51
2,63000,6,294,49
2,63600,6,282,47
2,64200,6,391,65
2,64800,4,211,52
2,65400,4,189,47
2,66000,3,159,53
2,66600,5,253,50
2,67200,6,318,53
2,67800,5,235,47
2,68400,5,257,51
2,69000,4,232,58
2,69600,6,285,47
2,70200,5,255,51
2,70800,5,238,47
2,71400,5,230,46
2,72000,2,63,31
2,72600,4,166,41
2,73200,4,161,40
2,73800,2,65,32
2,74400,3,133,44
2,75000,2,62,31
2,75600,3,169,56
2,76200,1,10,10
2,76800,3,142,47
2,77400,4,170,42
2,78000,2,4,2
2,78600,5,89,17
2,79200,5,50,10
3,21600,6,183,30
3,22200,5,214,42
3,22800,4,200,50
3,23400,5,280,56
3,24000,6,373,62
3,24600,5,324,64
3,25200,5,316,63
3,25800,5,301,60
3,26400,4,233,58
3,27000,5,265,53
3,27600,6,289,48
3,28200,5,216,43
3,28800,0,0,0
3,29400,5,448,89
3,30000,0,0,0
3,30600,5,504,100
3,31200,0,0,0
3,31800,0,0,0
3,32400,5,469,93
3,33000,0,0,0
3,33600,0,0,0
3,34200,0,0,0
3,34800,5,255,51
3,35400,0,0,0
3,36000,0,0,0
3,36600,0,0,0
3,37200,1,0,0
